stulD,年份,市,民族,性别,出生年,出生月,身高/cm,体重/kg,肺活量/ml,50米跑/秒,坐位体前屈/cm,立定跳远/cm,1分钟跳绳,立定跳远/跳绳,800米（女）,1000米（男）,800米/1000/50*8,50*8,引体向上（男）,1分钟仰卧起坐（女）
129218,2015,5,1,1,1998,12,184,87.0,3460,7.1,8.0,2.31,,,,3'42,,,1.0,
129219,2015,5,1,2,1999,11,170,45.0,1700,7.4,11.0,1.99,,,3'21,,,,,25.0
129220,2015,5,1,2,1999,2,167,58.0,2410,7.8,13.0,1.88,,,3'39,,,,,43.0
129221,2015,5,1,1,2000,5,180,70.0,2900,7.15,3.0,2.2,,,,4'1,,,2.0,
129222,2015,5,1,1,1998,9,177,67.0,3360,8.2,14.0,2.54,,,,3'52,,,5.0,
129223,2015,5,1,1,2000,4,172,60.0,3700,6.7,1.0,2.1,,,,4'42,,,1.0,
129224,2015,5,1,1,1998,4,171,60.0,3880,7.65,21.0,2.4,,,,3'49,,,6.0,
129225,2015,5,1,1,1999,7,178,55.0,3880,6.74,7.0,2.27,,,,3'50,,,11.0,
129226,2015,5,1,2,2000,9,165,60.0,1500,7.5,6.0,1.88,,,3'37,,,,,35.0
129227,2015,5,1,1,1999,11,167,60.0,3740,8.2,6.0,2.3,,,,4'20,,,4.0,
129228,2015,5,1,1,1998,2,183,55.0,4550,7.39,3.0,2.65,,,,3'25,,,15.0,
129229,2015,5,1,2,2000,3,153,54.0,1900,8.14,4.0,1.74,,,4'02,,,,,20.0
129230,2015,5,1,1,1998,3,173,65.0,1700,7.15,1.0,2.0,,,,4'09,,,1.0,
129231,2015,5,1,1,1999,12,170,55.0,2000,7.0,2.0,2.2,,,,3'5,,,5.0,
129232,2015,5,1,2,1997,9,170,63.0,2650,9.45,16.0,1.97,,,3'35,,,,,36.0
129233,2015,5,1,2,1999,12,167,58.0,2000,7.4,10.0,1.9,,,3'22,,,,,30.0
129234,2015,5,1,2,1998,9,169,59.0,4050,8.82,4.0,1.94,,,3'21,,,,,29.0
129235,2015,5,1,1,1998,9,170,68.0,4000,7.14,7.5,2.2,,,,3'54,,,12.0,
129236,2015,5,1,1,1998,11,185,94.0,3800,7.85,8.0,2.4,,,,3'55,,,7.0,
129237,2015,5,1,1,1998,8,185,123.0,4050,7.12,7.0,2.03,,,,4'20,,,6.0,
129238,2015,5,1,2,1999,6,167,61.0,2410,7.6,14.0,1.84,,,3'42,,,,,39.0
129239,2015,5,1,2,2000,10,165,63.0,1700,8.0,5.0,2.0,,,3'38,,,,,37.0
129240,2015,5,1,2,1999,7,167,62.0,2560,8.0,13.0,1.94,,,3'45,,,,,56.0
129241,2015,5,1,1,1998,12,183,93.0,3970,7.97,10.0,2.3,,,,3'54,,,9.0,
129242,2015,5,1,2,1998,10,168,60.0,2875,8.69,6.0,1.9,,,3'19,,,,,32.0
129243,2015,5,1,2,2000,2,162,60.0,1200,8.0,1.0,1.5,,,3'58,,,,,23.0
129244,2015,5,1,1,1999,9,171,75.0,3200,7.0,13.0,2.4,,,,3'44,,,5.0,
129245,2015,5,1,2,1998,6,168,52.0,3150,9.35,8.0,2.04,,,3'28,,,,,27.0
129246,2015,5,1,1,1997,9,171,83.0,3880,8.1,6.0,2.2,,,,4,,,0.0,
129247,2015,5,1,2,1998,10,165,52.0,2410,8.3,14.0,1.87,,,3'29,,,,,42.0
129248,2015,5,1,1,2000,6,183,66.0,2900,6.13,7.0,2.51,,,,3'53,,,18.0,
129249,2015,5,1,1,1999,9,185,65.0,3240,7.68,15.0,2.3,,,,3'40,,,6.0,
129250,2015,5,1,1,1999,1,186,68.0,2200,7.0,5.0,2.35,,,,3'4,,,8.0,
129251,2015,5,1,2,2000,7,162,42.0,1800,7.4,3.0,1.93,,,3'20,,,,,35.0
129252,2015,5,1,2,1997,10,173,63.0,3550,7.69,7.0,1.9,,,3'30,,,,,34.0
129253,2015,5,1,2,2000,11,165,52.0,2536,7.54,-1.0,1.97,,,3'19,,,,,40.0
129254,2015,5,1,1,1998,10,185,90.0,4700,6.88,5.0,2.65,,,,3'27,,,5.0,
129255,2015,5,1,2,1996,9,174,48.0,2650,7.65,14.0,1.88,,,3'25,,,,,34.0
129256,2015,5,1,1,2000,4,173,55.0,3000,6.0,2.0,2.5,,,,3'21,,,10.0,
129257,2015,5,1,2,1998,9,161,60.0,2340,8.4,18.0,1.9,,,3'29,,,,,50.0
129258,2015,5,1,1,1998,10,170,68.0,3540,7.9,10.0,2.48,,,,3'56,,,8.0,
129259,2015,5,1,1,1998,12,181,68.0,3540,8.2,14.0,2.43,,,,3'34,,,6.0,
129260,2015,5,1,2,1998,6,169,55.0,2750,8.15,8.0,1.87,,,4'20,,,,,31.0
129261,2015,5,1,2,2000,9,160,52.0,1800,7.15,16.0,1.9,,,3'3,,,,,35.0
129262,2015,5,1,2,1998,10,172,58.0,3350,7.69,7.0,1.98,,,3'45,,,,,31.0
