序号,字段/变量含义,字段/变量合法取值范围,字段/变量取值含义（举例）,字段顺序
1,问卷编号,6位数字,100000/该学生编号是100000,1
2,测量年份,2015~2020,2020/测量年份是2020年,2
3,市,1~17,1-17分别代表济南、青岛、淄博、枣庄、东营、烟台、潍坊、济宁、泰安、威海、日照、滨州、德州、聊城、临沂、菏泽、莱芜。,3
4,性别,Int型,取值范围：1-2，其中1代表男生，2代表女生,4
5,出生年,Int型,如2003，未填写为“Null”,5
6,出生月,Int型,如1，未填写为“Null”,6
7,民族,Int型,取值范围：1-8，分别代表汉族、蒙、满、回、藏、壮、维、其他,7
8,身高/cm,            120~197,134/该学生身高134cm,8
9,体重/kg,30~100,67/该学生体重为67Kg,9
10,肺活量/ml,1800~7000,4200/该学生肺活量为4200ml,10
11,50米跑/秒,5~16,12/该学生50米跑的成绩为12秒,11
12,立定跳远/cm,100~340,246/该学生立定跳远的成绩为246cm,12
13,1分钟跳绳,,60/该学生1分钟跳绳的成绩为60个,13
14,立定跳远/跳绳,,246/该学生立定跳远的成绩为246cm,14
15,坐位体前屈/cm,(-25)~30,5/该学生的坐位体前屈的成绩为5cm,15
16,1000米（男）,3~5,3'40/该学生的1000米跑成绩为3'40分,16
17,800米（女）,3~5,3'40/该学生的800米跑成绩为3'40分,17
18,50*8,3~5,3'40/该学生的50*8米跑成绩为3'40分,18
19,1000米/800米/50*8,3~5,3'40/该学生的800米跑成绩为3'40分,19
20,引体向上（男）,5~70,31/该学生的引体向上成绩为31个,20
21,1分钟仰卧起坐（女）,5~70,31/该学生的一分钟仰卧起坐成绩为31个,21
