序号,编码,数据项含义,数据类型,数据项标准,Unnamed: 5,说明
1,stulD,个人编号,Int型,6位数字，作为唯一识别码,,
2,q0701,0701,Int型,1.不友好2.有一点友好3.比较友好4.非常友好,取值范围为1-4以外的视为异常值，用“9999”表示，未填写的用“NULL”表示,你觉得班上的同学对你友好吗？
3,q0702,0702,Int型,1.不轻松2.较轻松但体力较差3.轻松且体力好4.非常轻松,,你能轻松地参加田径和球类运动吗？
4,q0703,0703,Int型,1.非常不满意2.有一点不满意3.比较满意4.非常满意,,你对自己的记忆力感到满意吗？
5,q0704,0704,Int型,1.没有2.有但不安全3.有但较小4.有很好的场所,,你家附近有可以参加体育活动的场所吗？
6,q0705,0705,Int型,1.不满意2.有一点不满意3.比较满意4.非常满意,,你对你和老师的关系感到满意吗？
7,q0706,0706,Int型,1.不满意2.有一点不满意3.比较满意4.非常满意,,你对你和父母的关系感到满意吗？
8,q0707,0707,Int型,1.极少有机会2.机会较少3.有比较多的机会4.有非常多的机会,,你有机会参加你所喜欢的课余活动吗？
9,q0708,0708,Int型,1.不关心2.有一点关心3.比较关心4.非常关心,,你的朋友关心你吗？
10,q0709,0709,Int型,1.有一两个2.有三四个3.有五六个4.有很多,,你的好朋友多吗？
11,q0710,0710,Int型,1.非常不满意2.有一点不满意3.比较满意4.非常满意,,你对自己参加体育活动的能力感到满意吗？
12,q0711,0711,Int型,1.非常吵闹2.有一点吵闹3.比较安静4.非常安静,,你家周围的环境安静吗？
13,q0712,0712,Int型,1.非常不满意2.有一点不满意3.比较满意4.非常满意,,你对自己的睡眠情况感到满意吗？
14,q0713,0713,Int型,1.非常不满意2.有一点不满意3.比较满意4.非常满意,,你对自己的精力感到满意吗？
15,q0714,0714,Int型,1.非常不满意2.有一点不满意3.比较满意4.非常满意,,你对自己的生活感到满意吗？
16,q0715,0715,Int型,1.很不方便2.有一点不方便3.比较方便4.非常方便,,你家附近能方便地买到你的生活和学习用品吗？
17,q0716,0716,Int型,1.不喜欢2.有一点喜欢3.比较喜欢4.非常喜欢,,你觉得老师喜欢你吗？
18,q0717,0717,Int型,1.非常不满意2.有一点不满意3.比较满意4.非常满意,,你对自己的健康感到满意吗？
19,q0718,0718,Int型,1.很不方便2.有一点不方便3.比较方便4.非常方便,,你家附近交通方便吗？
20,q0719,0719,Int型,1.非常不满意2.有一点不满意3.比较满意4.非常满意,,你对自己的朋友感到满意吗？
