stulD,q0401a,q0401b,q0401c,q0401d,q0401e,q0401f,q0401g,q0401h,q0401i,q0401j,q0401k,q0401l,q0401m,q0401n,q0401o,q0401p,q0401q,q0402,q0403,q0404,q0405,q0406,q0407,q0408,q0409,年级,年份,市
100000,2,3,4,3,4,4,4,3,4,2,2,2,3,5,3,4,4,1,1,1,2,1,2230.0,7.0,2,2,2020,5
123334,3,3,3,3,4,2,4,2,4,2,2,4,4,4,3,4,4,1,1,3,1,3,2240.0,6.0,3,2,2020,5
100001,1,1,1,1,1,1,3,3,4,2,2,3,4,4,5,5,4,1,2,1,2,1,,,2,2,2020,5
100002,1,2,2,2,3,2,2,1,1,1,1,3,4,4,1,1,3,1,1,1,2,1,2300.0,6.0,2,2,2020,5
100003,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,1,2,2,9999.0,6.0,1,2,2020,5
100004,3,4,2,4,4,1,4,2,4,3,1,3,5,4,4,4,4,1,2,1,2,1,2230.0,6.5,3,2,2020,5
100005,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,1,2,1,2,1,2200.0,8.0,1,2,2020,5
100006,1,2,2,2,2,2,2,2,4,1,3,3,2,4,3,4,4,1,1,1,2,1,2200.0,7.0,2,2,2020,5
100007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2245.0,8.5,1,2,2020,5
100008,3,5,4,3,5,3,3,1,5,3,2,2,4,4,5,4,4,1,1,2,1,1,2230.0,6.0,1,2,2020,5
100009,1,1,4,1,1,1,1,1,1,1,1,1,4,5,5,5,5,1,2,1,2,1,2100.0,8.0,1,2,2020,5
100010,1,4,3,1,2,1,3,2,5,2,1,2,3,3,4,3,4,1,2,1,2,1,2230.0,7.0,3,2,2020,5
100011,2,3,2,3,3,2,2,3,4,2,2,4,4,5,3,5,4,1,2,1,2,1,2200.0,7.0,2,2,2020,5
100012,2,2,1,1,2,3,1,1,2,3,3,3,2,2,2,2,3,1,2,1,2,1,2200.0,8.0,1,2,2020,5
100013,3,2,3,4,4,1,3,1,1,1,1,1,1,1,1,1,3,1,2,1,1,1,2200.0,7.0,2,2,2020,5
100014,1,3,4,1,1,3,5,4,5,3,2,5,5,5,5,4,5,1,2,1,2,1,9999.0,6.5,4,2,2020,5
100015,2,2,2,2,3,2,3,2,4,2,5,2,5,5,4,5,5,1,2,1,2,1,,,2,2,2020,5
100016,1,3,1,3,4,2,3,2,4,4,4,3,4,4,4,3,3,1,1,2,1,1,2200.0,6.0,3,2,2020,5
