序号,编码,数据项含义,数据类型,数据项标准,说明
1,stulD,个人编号,Int型,6位数字，作为唯一识别码,本问卷包含9个题目
2,q0401a,上周饮食次数,Int型,取值范围：1-5，分别表示：每天超过一次；大约每天一次；大约隔天一次；1-2次；0次,绿叶蔬菜  
3,q0401b,上周饮食次数,Int型,取值范围：1-5，分别表示：每天超过一次；大约每天一次；大约隔天一次；1-2次；0次,红、橙色蔬菜（胡萝卜、西红柿等）
4,q0401c,上周饮食次数,Int型,取值范围：1-5，分别表示：每天超过一次；大约每天一次；大约隔天一次；1-2次；0次,土豆（不包括炸薯条、炸土豆或薯片）
5,q0401d,上周饮食次数,Int型,取值范围：1-5，分别表示：每天超过一次；大约每天一次；大约隔天一次；1-2次；0次,其他蔬菜类
6,q0401e,上周饮食次数,Int型,取值范围：1-5，分别表示：每天超过一次；大约每天一次；大约隔天一次；1-2次；0次,薯类（地瓜、山药、芋头）
7,q0401f,上周饮食次数,Int型,取值范围：1-5，分别表示：每天超过一次；大约每天一次；大约隔天一次；1-2次；0次,水果
8,q0401g,上周饮食次数,Int型,取值范围：1-5，分别表示：每天超过一次；大约每天一次；大约隔天一次；1-2次；0次,大豆制品（豆腐、豆制品）
9,q0401h,上周饮食次数,Int型,取值范围：1-5，分别表示：每天超过一次；大约每天一次；大约隔天一次；1-2次；0次,"新鲜鸡肉、猪肉、牛肉或其他肉类(单独 烹饪或在一道菜、一道汤里都算)  "
10,q0401i,上周饮食次数,Int型,取值范围：1-5，分别表示：每天超过一次；大约每天一次；大约隔天一次；1-2次；0次,鱼虾或其他海鲜
11,q0401j,上周饮食次数,Int型,取值范围：1-5，分别表示：每天超过一次；大约每天一次；大约隔天一次；1-2次；0次,蛋类
12,q0401k,上周饮食次数,Int型,取值范围：1-5，分别表示：每天超过一次；大约每天一次；大约隔天一次；1-2次；0次,奶类（牛奶、酸奶等）
13,q0401l,上周饮食次数,Int型,取值范围：1-5，分别表示：每天超过一次；大约每天一次；大约隔天一次；1-2次；0次,加工肉类（火腿肠、肉肠、红肠等）
14,q0401m,上周饮食次数,Int型,取值范围：1-5，分别表示：每天超过一次；大约每天一次；大约隔天一次；1-2次；0次,方便面
15,q0401n,上周饮食次数,Int型,取值范围：1-5，分别表示：每天超过一次；大约每天一次；大约隔天一次；1-2次；0次,"西式快餐（指从麦当劳、肯德基、必胜客 或其他西式快餐厅里买的食物，包括汉 堡包、炸鸡、炸鱼条、炸薯条和比萨饼。 "
16,q0401o,上周饮食次数,Int型,取值范围：1-5，分别表示：每天超过一次；大约每天一次；大约隔天一次；1-2次；0次,"加糖饮料，比如汽水，加糖奶饮料或加糖 果汁饮料"
17,q0401p,上周饮食次数,Int型,取值范围：1-5，分别表示：每天超过一次；大约每天一次；大约隔天一次；1-2次；0次,"加糖或盐的零食和甜点，比如蛋糕、饼 干、糖果、薯片或虾条  "
18,q0401q,上周饮食次数,Int型,取值范围：1-5，分别表示：每天超过一次；大约每天一次；大约隔天一次；1-2次；0次,油炸食品
19,q0401r,上周饮食次数,Int型,取值范围：1-5，分别表示：每天超过一次；大约每天一次；大约隔天一次；1-2次；0次,大豆+肉类
20,q0402,早餐,Int型,1=“会”，2=“不会”,D2.通常你会吃早饭吗？
21,q0403,饥饿,Int型,1=“有”，2=“没有”,D3.你有过吃不饱的经历吗？
22,q0404,饥饿频率,Int型,1=”偶尔“，2=”有时”，3=“经常”，NULL代表未选择,D4.如果有，这种情况多常发生？
23,q0405,极度饥饿,Int型,1=“是“，2=”否“,D5.你是否曾因饥饿无法集中精力听课？
24,q0406,极度饥饿频率,Int型,1=”偶尔“，2=”有时”，3=“经常”，NULL代表未选择，异常值用“9999”表示,D6.如果有，这种情况多常发生？
25,q0408,工作日睡觉时间,String型,采用24小时制，2105表示晚上9点05睡觉，异常值用“9999”表示,D7.周一至周五，你晚上通常几点钟睡觉？ 
26,q0407,睡眠时长,Int型,如8.5表示睡眠八个半小时，异常值用“9999”表示,D8.你通常每晚睡多少个小时？  
27,q0409,健康状况自查,Int型,取值范围：1-5，由低到高分别表示：极好；很好；好；一般；差，异常值用“9999”表示,D8.以下问题有关你整体的健康。总的来说，你认为你的健康状况如何？ 
28,年级,年级,Int型,"取值范围：1,2，1初中，2高中",
29,年份,年份,Int型,取值范围：2020，2017，2016，2015,
30,市,市,Int型,取值范围：1-17；分别代表济南、青岛、淄博、枣庄、东营、烟台、潍坊、济宁、泰安、威海、日照、滨州、德州、聊城、临沂、菏泽、莱芜。,
